,Name,X_center,Y_center,Radius
307,MCELS-L320,5373.3644,5971.1736,17.898000
308,MCELS-L321,4867.1040,12205.553,53.559500
309,MCELS-L323,5233.0240,6669.3485,107.63050
310,MCELS-L324,5280.5188,6177.9369,134.31600
311,MCELS-L325,4715.5180,12179.374,104.59500
312,MCELS-L326,5373.6103,4273.8786,84.208000
313,MCELS-L327,4730.4986,11655.375,59.321500
314,MCELS-L328,5175.2848,7168.9730,358.61750
315,MCELS-L329,5181.1672,5400.3000,23.272500
316,MCELS-L330,5065.6906,6427.2370,71.158500
317,MCELS-L331,5131.5778,5155.2235,46.788500
318,MCELS-L332,5027.9851,6325.5610,12.500000
319,MCELS-L333,4904.8210,6601.6171,134.34300
320,MCELS-L334,4997.6522,6141.7289,15.285000
321,MCELS-L335,4962.8144,6475.8729,23.484500
322,MCELS-L336,4967.0702,6155.9805,22.014500
323,MCELS-L337,4902.8198,6198.1186,154.69500
324,MCELS-L338,4391.2531,12435.114,182.97250
325,MCELS-L339,5193.5424,3442.1210,6.3150000
326,MCELS-L340,5188.4848,3429.3300,6.5415000
327,MCELS-L341,5181.3875,3412.9915,9.7675000
328,MCELS-L342,4950.1497,5841.0435,22.469000
329,MCELS-L343,4957.8898,5957.9194,79.691500
330,MCELS-L344,5147.5312,3397.5569,32.339000
331,MCELS-L345,5161.3944,3345.0639,14.196500
332,MCELS-L346,4944.0996,5664.9431,16.124000
333,MCELS-L347,4790.8769,7322.0518,19.915500
334,MCELS-L348,4916.6517,5711.5722,17.413000
335,MCELS-L349,4871.9840,6102.6456,8.8520000
336,MCELS-L350,4889.6426,5799.5449,21.174500
337,MCELS-L351,4882.9904,5432.8693,38.964000
338,MCELS-L352,4840.3549,5887.9098,22.267500
339,MCELS-L353,4835.6054,5820.9115,17.219500
340,MCELS-L354,4890.1004,5202.9023,10.623500
341,MCELS-L355,4814.9400,5920.6983,14.464500
342,MCELS-L356,5055.1113,3356.4443,47.845500
343,MCELS-L357,4991.2366,3866.8800,14.572500
344,MCELS-L358,4815.7585,5634.4845,48.018000
345,MCELS-L359,5022.2349,3289.6193,20.161000
346,MCELS-L360,4885.6963,4606.8224,24.058500
347,MCELS-L361,4981.3057,3227.3769,13.821500
348,MCELS-L362,4986.7677,3192.7314,16.821000
349,MCELS-L363,4725.9335,5895.1618,46.296000
350,MCELS-L364,4740.5690,5473.6575,43.251500
351,MCELS-L365,4819.8433,4456.0846,77.816000
352,MCELS-L366,4221.7847,10895.910,42.611500
353,MCELS-L367,4968.9334,3088.4017,67.218000
354,MCELS-L368,4473.4612,7333.7986,33.751000
355,MCELS-L369,4416.3230,7129.7343,90.593500
356,MCELS-L370,4035.7969,11480.353,67.301000
357,MCELS-L372,4450.1571,5893.0616,66.079000
358,MCELS-L373,4063.1814,9317.4355,120.67050
359,MCELS-L374,3926.4575,10022.214,13.248500
360,MCELS-L375,3562.5326,11901.497,296.08050
361,MCELS-L376,3826.2085,10001.111,29.195000
362,MCELS-L377,4183.0292,6575.0803,30.872500
363,MCELS-L378,3877.7771,6497.2298,208.88800
364,MCELS-L379,3633.1030,10546.487,97.437500
365,MCELS-L380,4121.7471,5843.8467,31.256500
366,MCELS-L381,3675.3066,10245.650,231.81650
367,MCELS-L382,3531.0238,10505.833,14.537000
368,MCELS-L383,3956.1212,6209.6205,28.539500
369,MCELS-L384,3907.0363,6151.6296,8.7160000
370,MCELS-L385,3889.6698,6177.6747,16.574000
371,MCELS-L386,3324.2754,10501.269,114.06800
372,MCELS-L387,3936.9761,5128.0501,62.993000
373,MCELS-L389,3739.4045,5619.9739,9.4975000
374,MCELS-L390,3731.3359,5567.1302,15.095500
375,MCELS-L391,3728.0905,5591.9648,7.6825000
376,MCELS-L392,3703.7914,5598.2518,10.837000
377,MCELS-L393,3729.2970,5313.5719,37.591500
378,MCELS-L394,3614.2365,5649.1082,31.267000
379,MCELS-L395,3603.5649,5379.3365,29.590000
380,MCELS-L396,3586.0087,5165.9771,188.70050
381,MCELS-L397,3388.3422,6562.0006,79.283500
382,MCELS-L398,2790.4857,8508.1606,391.89350
383,MCELS-L400,2075.4377,8494.0331,9.6945000
384,MCELS-L401,2060.8547,8367.3685,86.434000
385,MCELS-L53,12085.762,6399.5047,9.1770000
